date,count
2023-01-16,1976
2023-01-17,2011
2023-01-18,2001
2023-01-19,2032
2023-01-20,1949
2023-01-21,2005
2023-01-22,1938
2023-01-23,1995
2023-01-24,1745
2023-01-25,1741
2023-01-26,1724
2023-01-27,1762
2023-01-28,1739
2023-01-29,1705
2023-01-30,1711
2023-01-31,1655
2023-02-01,1719
2023-02-02,1754
2023-02-03,1743
2023-02-04,1737
2023-02-05,1708
2023-02-06,1744
2023-02-07,1689
2023-02-08,1751
2023-02-09,1712
2023-02-10,1784
2023-02-11,1734
2023-02-12,1673
2023-02-13,1769
2023-02-14,1784
2023-02-15,1878
2023-02-16,1871
2023-02-17,1218
2023-02-18,1904
2023-02-19,1824
2023-02-20,1919
2023-02-21,1930
2023-02-22,1850
2023-02-23,1912
2023-02-24,1909
2023-02-25,1936
2023-02-26,1844
2023-02-27,1940
2023-02-28,1952
2023-03-01,1943
2023-03-02,1972
2023-03-03,1968
2023-03-04,1950
2023-03-05,1875
2023-03-06,1902
2023-03-07,1836
2023-03-08,1951
2023-03-09,1915
2023-03-10,1919
2023-03-11,1882
2023-03-12,1893
2023-03-13,1917
2023-03-14,1896
2023-03-15,1923
2023-03-16,1924
2023-03-17,1906
2023-03-18,1841
2023-03-19,1832
2023-03-20,1908
2023-03-21,1940
2023-03-22,1905
2023-03-23,1885
2023-03-24,1882
2023-03-25,1922
2023-03-26,1873
2023-03-27,1895
2023-03-28,1888
2023-03-29,1938
2023-03-30,1966
2023-03-31,1991
2023-04-01,1924
2023-04-02,1851
2023-04-03,1877
2023-04-04,1877
2023-04-05,1957
2023-04-06,1925
2023-04-07,1930
2023-04-08,1979
2023-04-09,1909
2023-04-10,1990
2023-04-11,1878
2023-04-12,1912
2023-04-13,1940
2023-04-14,1883
2023-04-15,1814
2023-04-16,1803
2023-04-17,1897
2023-04-18,1932
2023-04-19,1894
2023-04-20,1916
2023-04-21,1984
2023-04-22,1878
2023-04-23,1776
2023-04-24,1832
2023-04-25,1881
2023-04-26,1873
2023-04-27,1834
2023-04-28,1886
2023-04-29,1902
2023-04-30,1842
2023-05-01,1757
2023-05-02,1858
2023-05-03,1876
2023-05-04,1922
2023-05-05,1913
2023-05-06,1926
2023-05-07,1985
2023-05-08,1936
2023-05-09,1894
2023-05-10,1834
2023-05-11,1869
2023-05-12,1891
2023-05-13,1822
2023-05-14,1800
2023-05-15,1800
2023-05-16,1827
2023-05-17,1818
2023-05-18,1834
2023-05-19,1769
2023-05-20,1791
2023-05-21,1740
2023-05-22,1765
2023-05-23,1777
2023-05-24,1766
2023-05-25,1808
2023-05-26,1794
2023-05-27,1744
2023-05-28,1754
2023-05-29,1726
2023-05-30,1765
2023-05-31,1736
2023-06-01,1720
2023-06-02,1770
2023-06-03,1626
2023-06-04,1649
2023-06-05,1645
2023-06-06,1598
2023-06-07,1726
2023-06-08,1731
2023-06-09,1769
2023-06-10,1807
2023-06-11,1735
2023-06-12,1696
2023-06-13,1717
2023-06-14,1719
2023-06-15,1714
2023-06-16,1694
2023-06-17,1718
2023-06-18,1636
2023-06-19,1605
2023-06-20,1674
2023-06-21,1620
2023-06-22,1697
2023-06-23,1656
2023-06-24,1687
2023-06-25,1663
2023-06-26,1666
2023-06-27,1622
2023-06-28,1631
2023-06-29,1628
2023-06-30,1629
2023-07-01,1665
2023-07-02,1643
2023-07-03,1627
2023-07-04,1668
2023-07-05,1630
2023-07-06,1628
2023-07-07,1613
2023-07-08,1573
2023-07-09,1543
2023-07-10,1480
2023-07-11,1498
2023-07-12,1558
2023-07-13,1493
2023-07-14,1502
2023-07-15,1499
2023-07-16,1506
2023-07-17,1509
2023-07-18,1595
2023-07-19,1545
2023-07-20,1595
2023-07-22,1471
2023-07-23,1437
2023-07-24,1470
2023-07-25,1445
2023-07-26,1407
2023-07-27,1425
2023-07-28,1679
2023-07-29,1476
2023-07-30,1435
2023-07-31,1491
2023-08-01,1454
2023-08-02,1409
2023-08-03,1485
2023-08-04,1439
2023-08-05,1501
2023-08-06,1442
2023-08-07,1463
2023-08-08,1387
2023-08-09,1400
2023-08-10,1414
2023-08-11,1452
2023-08-12,1467
2023-08-13,1401
2023-08-14,1369
2023-08-15,1358
2023-08-16,1372
2023-08-17,1325
2023-08-18,1370
2023-08-19,1344
2023-08-20,1340
2023-08-21,1403
2023-08-22,1386
2023-08-23,1357
2023-08-24,1303
2023-08-25,1364
2023-08-26,1386
2023-08-27,1394
2023-08-28,1432
2023-08-29,1352
2023-08-30,1390
2023-08-31,1348
2023-09-01,1369
2023-09-02,1431
2023-09-03,1396
2023-09-04,1399
2023-09-05,1450
2023-09-06,1516
2023-09-07,1517
2023-09-08,1499
2023-09-09,1468
2023-09-10,1422
2023-09-11,1499
2023-09-12,1460
2023-09-13,1432
2023-09-14,1497
2023-09-15,1544
2023-09-16,1523
2023-09-17,1549
2023-09-18,1506
2023-09-19,1503
2023-09-20,1541
2023-09-21,1560
2023-09-22,1542
2023-09-23,1536
2023-09-24,1487
2023-09-25,1488
2023-09-26,1410
2023-09-27,1481
2023-09-28,1461
2023-09-29,1343
2023-09-30,1466
2023-10-01,1444
2023-10-02,1406
2023-10-03,1457
2023-10-04,1436
2023-10-05,1458
2023-10-06,1487
2023-10-07,1514
2023-10-08,1486
2023-10-09,1444
2023-10-10,1468
2023-10-11,1602
2023-10-12,1588
2023-10-13,1593
2023-10-14,1539
2023-10-15,1527
2023-10-16,1503
2023-10-17,1550
2023-10-18,1501
2023-10-19,1535
2023-10-20,1525
2023-10-21,1510
2023-10-22,1479
2023-10-23,1437
2023-10-24,1419
2023-10-25,1494
2023-10-26,1495
2023-10-27,1513
2023-10-28,1575
2023-10-29,1541
2023-10-30,1500
2023-10-31,1489
2023-11-02,1540
2023-11-03,1477
2023-11-04,1385
2023-11-05,1412
2023-11-06,1477
2023-11-07,1464
2023-11-08,1538
2023-11-09,1491
2023-11-10,1474
2023-11-11,1498
2023-11-12,1484
2023-11-13,1492
2023-11-14,1452
2023-11-15,1454
2023-11-16,1498
2023-11-17,1435
2023-11-18,1461
2023-11-19,1457
2023-11-20,1522
2023-11-21,1488
2023-11-22,1512
2023-11-23,1502
2023-11-24,1562
2023-11-25,1516
2023-11-26,1476
2023-11-27,1500
2023-11-28,1486
2023-11-29,1518
2023-11-30,1502
2023-12-01,1521
2023-12-02,1526
2023-12-03,1481
2023-12-04,1489
2023-12-05,851
2023-12-06,852
2023-12-07,890
2023-12-08,836
2023-12-09,789
2023-12-10,781
2023-12-11,842
2023-12-12,858
2023-12-13,854
2023-12-14,811
2023-12-15,784
2023-12-16,792
2023-12-17,750
2023-12-18,859
2023-12-19,824
2023-12-20,854
2023-12-21,851
2023-12-22,820
2023-12-23,778
2023-12-24,746
2023-12-25,721
2023-12-26,738
2023-12-27,740
2023-12-28,750
2023-12-29,768
2023-12-30,760
2023-12-31,649
2024-01-01,756
2024-01-02,832
2024-01-03,821
2024-01-04,828
2024-01-05,792
2024-01-06,792
2024-01-07,779
2024-01-08,842
2024-01-09,862
2024-01-10,866
2024-01-11,862
2024-01-12,845
2024-01-13,823
2024-01-14,794
2024-01-15,838
2024-01-16,854
2024-01-17,854
2024-01-18,790
2024-01-19,794
2024-01-20,781
2024-01-21,798
2024-01-22,932
2024-01-23,937
2024-01-24,862
2024-01-25,880
2024-01-26,789
2024-01-27,825
2024-01-28,845
2024-01-29,884
2024-01-30,873
2024-01-31,826
2024-02-01,931
2024-02-02,887
2024-02-03,865
2024-02-04,854
2024-02-05,893
2024-02-06,880
2024-02-07,925
2024-02-08,870
2024-02-09,891
2024-02-10,875
2024-02-11,864
2024-02-12,883
2024-02-13,830
2024-02-14,809
2024-02-15,810
2024-02-16,816
2024-02-17,764
2024-02-18,800
2024-02-19,845
2024-02-20,819
2024-02-21,811
2024-02-22,771
2024-02-23,802
2024-02-24,752
2024-02-25,749
2024-02-26,770
2024-02-27,783
2024-02-28,770
2024-02-29,810
2024-03-01,836
2024-03-02,804
2024-03-03,804
2024-03-04,805
2024-03-05,820
2024-03-06,768
2024-03-07,779
2024-03-08,779
2024-03-09,746
2024-03-10,714
2024-03-11,796
2024-03-12,808
2024-03-13,794
2024-03-14,791
2024-03-15,728
2024-03-16,763
2024-03-17,710
2024-03-18,747
2024-03-19,766
2024-03-20,750
2024-03-21,722
2024-03-22,740
2024-03-23,718
2024-03-24,706
2024-03-25,679
2024-03-26,795
2024-03-27,784
2024-03-28,718
2024-03-29,721
2024-03-30,679
2024-03-31,700
2024-04-01,762
2024-04-02,703
2024-04-03,768
2024-04-04,778
2024-04-05,744
2024-04-06,733
2024-04-07,680
2024-04-08,724
2024-04-09,725
2024-04-10,723
2024-04-11,686
2024-04-12,699
2024-04-13,686
2024-04-14,652
2024-04-15,685
2024-04-16,707
2024-04-17,771
2024-04-18,715
2024-04-19,660
2024-04-20,677
2024-04-21,656
2024-04-22,710
2024-04-23,750
2024-04-24,716
2024-04-25,690
2024-04-26,668
2024-04-27,694
2024-04-28,684
2024-04-29,689
2024-04-30,738
2024-05-01,684
2024-05-02,716
2024-05-03,654
2024-05-04,666
2024-05-05,650
2024-05-06,647
2024-05-07,629
2024-05-08,650
2024-05-09,633
2024-05-10,659
2024-05-11,605
2024-05-12,569
2024-05-13,645
2024-05-14,639
2024-05-15,604
2024-05-16,586
2024-05-17,592
2024-05-18,604
2024-05-19,617
2024-05-20,643
2024-05-21,600
2024-05-22,596
2024-05-23,606
2024-05-24,633
2024-05-25,586
2024-05-26,591
2024-05-27,629
2024-05-28,614
2024-05-29,551
2024-05-30,593
2024-05-31,567
2024-06-01,601
2024-06-02,543
2024-06-03,549
2024-06-04,550
2024-06-05,573
2024-06-06,583
2024-06-07,563
2024-06-08,552
2024-06-10,540
2024-06-11,525
2024-06-12,540
2024-06-13,531
2024-06-14,522
2024-06-15,566
2024-06-16,529
2024-06-17,518
2024-06-18,560
2024-06-19,538
2024-06-20,525
2024-06-21,498
2024-06-21,579
2024-06-22,514
2024-06-23,524
2024-06-24,534
2024-06-24,579
2024-06-25,570
2024-06-26,579
2024-06-27,595
2024-06-28,576
2024-06-29,581
2024-06-30,566
2024-07-01,643
2024-07-02,621
2024-07-03,664
2024-07-04,639
2024-07-05,657
2024-07-06,617
2024-07-07,603
2024-07-08,677
2024-07-11,683
2024-07-11,680
2024-07-12,663
2024-07-13,617
2024-07-14,627
2024-07-15,684
2024-07-16,664
2024-07-17,657
2024-07-18,639
2024-07-19,668
2024-07-20,690
2024-07-21,638
2024-07-22,665
2024-07-23,691
2024-07-24,657
2024-07-25,647
2024-07-26,650
2024-07-27,640
2024-07-28,611
2024-07-29,677
2024-07-30,679
2024-07-31,611
2024-08-01,600
2024-08-02,542
2024-08-03,589
2024-08-04,553
2024-08-05,576
2024-08-05,617
2024-08-06,393
2024-08-07,407
2024-08-08,489
2024-08-09,486
2024-08-10,569
2024-08-11,518
2024-08-12,549
2024-08-13,536
2024-08-14,575
2024-08-15,529
2024-08-16,531
2024-08-17,516
2024-08-18,501
2024-08-19,539
2024-08-20,533
2024-08-21,556
2024-08-22,519
2024-08-23,578
2024-08-24,531
2024-08-25,519
2024-08-26,535
2024-08-27,540
2024-08-28,569
2024-08-29,581
2024-08-30,568
2024-08-31,579
2024-09-01,548
2024-09-02,558
2024-09-03,573
2024-09-04,557
2024-09-05,578
2024-09-06,567
2024-09-07,460
2024-09-08,505
2024-09-09,576
2024-09-10,626
2024-09-11,588
2024-09-12,589
2024-09-13,570
2024-09-14,603
2024-09-15,555
2024-09-16,562
2024-09-17,609
2024-09-18,614
2024-09-19,587
2024-09-20,624
2024-09-21,589
2024-09-22,556
2024-09-23,593
2024-09-24,521
2024-09-25,508
2024-09-26,550
2024-09-27,554
2024-09-28,525
2024-09-29,507
2024-09-30,501
2024-09-30,503
2024-10-01,544
2024-10-02,491
2024-10-03,505
2024-10-04,528
